hospital_id,hospital_name,num__male__rate,num__currentSmoker__rate,num__BPMeds__rate,num__prevalentStroke__rate,num__prevalentHyp__rate,num__diabetes__rate
1,Young healthy population,0.006062557935798906,0.20669500394810722,-0.1706640371965722,-0.0709720863229836,-0.6349056905825397,-0.1321010108276451
2,General community,-0.36219478814302897,-0.1791648870014158,-0.16472887054865992,-0.0709720863229836,-0.5857083603139028,-0.1534161392039829
3,Hypertension clinic,0.04290339336761321,-0.14640981793616265,0.6299463519873477,0.12904230118745205,1.3802393476337949,-0.1534161392039829
4,Diabetes & obesity clinic,0.13833734106137602,-0.5207112864579494,0.02511938209819683,0.02098258014285304,0.32449067466926695,2.532566856063619
5,Heavy smokers,0.7058733147431695,1.0007509273229218,-0.14833022492146522,-0.0709720863229836,-0.26450888873159834,-0.12870637927141354
6,Cardiology referral center,0.17239815559945346,0.4463062446367436,0.4947295423100635,0.41733890111628685,1.1945443545301482,-0.1534161392039829
7,Women's preventive clinic,-0.1776835960407001,-0.38468399969413986,-0.15282341792355772,0.012820923355944465,-0.4763275476267758,-0.1534161392039829
8,Geriatric hospital,-0.27922230860895203,-0.6820348756725727,0.26212036334975936,0.13229612375939215,1.1661660284264577,-0.12149443976956317
9,Metabolic syndrome clinic,-0.09093081095508343,-0.2940131148651352,0.22802219845823019,-0.0709720863229836,1.1860034946766271,0.5082336308912623
10,General tertiary hospital,0.26162572231280135,-0.23574869205064533,-0.14081191187835987,-0.00086803367081111,-0.006839905550147864,-0.1534161392039829
